stock_code,stock_market,ipo_date,delisting_date,is_active,created_at,updated_at
95570,KOSPI,,,True,2025-08-08,2025-08-08
6840,KOSPI,,,True,2025-08-08,2025-08-08
27410,KOSPI,,,True,2025-08-08,2025-08-08
282330,KOSDAQ,2017-12-08,,True,2025-08-08,2025-08-08
138930,KOSDAQ,2013-05-23,,True,2025-08-08,2025-08-08
1460,KOSPI,,,True,2025-08-08,2025-08-08
1465,KOSPI,,,True,2025-08-08,2025-08-08
1040,KOSPI,,,True,2025-08-08,2025-08-08
79160,KOSPI,,,True,2025-08-08,2025-08-08
120,KOSPI,,,True,2025-08-08,2025-08-08
11150,KOSPI,,,True,2025-08-08,2025-08-08
11155,KOSPI,,,True,2025-08-08,2025-08-08
1045,KOSPI,,,True,2025-08-08,2025-08-08
97950,KOSPI,,,True,2025-08-08,2025-08-08
97955,KOSPI,,,True,2025-08-08,2025-08-08
480,KOSPI,,,True,2025-08-08,2025-08-08
590,KOSPI,,,True,2025-08-08,2025-08-08
12030,KOSPI,,,True,2025-08-08,2025-08-08
5830,KOSPI,,,True,2025-08-08,2025-08-08
16610,KOSPI,,,True,2025-08-08,2025-08-08
990,KOSPI,,,True,2025-08-08,2025-08-08
300,KOSPI,,,True,2025-08-08,2025-08-08
1530,KOSPI,,,True,2025-08-08,2025-08-08
15590,KOSPI,,,True,2025-08-08,2025-08-08
210,KOSPI,,,True,2025-08-08,2025-08-08
215,KOSPI,,,True,2025-08-08,2025-08-08
375500,KOSDAQ,2021-01-25,,True,2025-08-08,2025-08-08
7340,KOSPI,,,True,2025-08-08,2025-08-08
4840,KOSPI,,,True,2025-08-08,2025-08-08
155660,KOSDAQ,2013-05-23,,True,2025-08-08,2025-08-08
69730,KOSPI,,,True,2025-08-08,2025-08-08
17860,KOSPI,,,True,2025-08-08,2025-08-08
92780,KOSPI,,,True,2025-08-08,2025-08-08
17940,KOSPI,,,True,2025-08-08,2025-08-08
365550,KOSDAQ,2020-12-23,,True,2025-08-08,2025-08-08
383220,KOSDAQ,2021-05-21,,True,2025-08-08,2025-08-08
7700,KOSPI,,,True,2025-08-08,2025-08-08
114090,KOSDAQ,2013-05-23,,True,2025-08-08,2025-08-08
78930,KOSPI,,,True,2025-08-08,2025-08-08
6360,KOSPI,,,True,2025-08-08,2025-08-08
1250,KOSPI,,,True,2025-08-08,2025-08-08
7070,KOSPI,,,True,2025-08-08,2025-08-08
78935,KOSPI,,,True,2025-08-08,2025-08-08
499790,KOSDAQ,2024-12-23,,True,2025-08-08,2025-08-08
12630,KOSPI,,,True,2025-08-08,2025-08-08
39570,KOSPI,,,True,2025-08-08,2025-08-08
89470,KOSPI,,,True,2025-08-08,2025-08-08
294870,KOSDAQ,2018-06-12,,True,2025-08-08,2025-08-08
9540,KOSPI,,,True,2025-08-08,2025-08-08
267250,KOSDAQ,2017-05-10,,True,2025-08-08,2025-08-08
267270,KOSDAQ,2017-05-10,,True,2025-08-08,2025-08-08
443060,KOSDAQ,2024-05-08,,True,2025-08-08,2025-08-08
71970,KOSPI,,,True,2025-08-08,2025-08-08
10620,KOSPI,,,True,2025-08-08,2025-08-08
322000,KOSDAQ,2019-11-19,,True,2025-08-08,2025-08-08
42670,KOSPI,,,True,2025-08-08,2025-08-08
267260,KOSDAQ,2017-05-10,,True,2025-08-08,2025-08-08
329180,KOSDAQ,2021-09-17,,True,2025-08-08,2025-08-08
97230,KOSPI,,,True,2025-08-08,2025-08-08
14790,KOSPI,,,True,2025-08-08,2025-08-08
3580,KOSPI,,,True,2025-08-08,2025-08-08
204320,KOSDAQ,2014-10-06,,True,2025-08-08,2025-08-08
60980,KOSPI,,,True,2025-08-08,2025-08-08
11200,KOSPI,,,True,2025-08-08,2025-08-08
35000,KOSPI,,,True,2025-08-08,2025-08-08
2460,KOSPI,,,True,2025-08-08,2025-08-08
487570,KOSDAQ,2024-07-29,,True,2025-08-08,2025-08-08
298050,KOSDAQ,2018-07-13,,True,2025-08-08,2025-08-08
3560,KOSPI,,,True,2025-08-08,2025-08-08
15360,KOSPI,,,True,2025-08-08,2025-08-08
175330,KOSDAQ,2013-07-18,,True,2025-08-08,2025-08-08
234080,KOSDAQ,2016-10-27,,True,2025-08-08,2025-08-08
1060,KOSPI,,,True,2025-08-08,2025-08-08
1067,KOSPI,,,True,2025-08-08,2025-08-08
1065,KOSPI,,,True,2025-08-08,2025-08-08
